mortgage,card_utilization,amount_past_due,dda_balance_9m,card_balance,card_balance_3m,card_balance_6m,card_balance_12m,delinquency_status,delinquency_status_3m,delinquency_status_6m,delinquency_status_12m,credit_inquiry,credit_inquiry_3m,credit_inquiry_6m,credit_inquiry_12m,open_trade,open_trade_3m,open_trade_6m,open_trade_12m,gender,race,race_category,status
296098.42,0.772777347,519.17,0.0,574.3,423.69,533.92,366.14,2,2,2,2,1,0,0,0,1,0,0,0,0,1,White,0
451829.62,0.515235475,0.0,2442.15,1488.15,1069.53,997.88,976.86,0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,1
216103.06,0.491179578,874.74,0.0,1305.21,1481.94,1097.7,1256.53,5,5,5,5,1,2,3,0,1,1,1,0,1,1,White,0
232105.78,0.610135893,0.0,0.0,2597.19,1410.0,1122.95,1164.98,0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,1
177016.76,0.189318598,0.0,0.0,733.1,2403.12,1287.56,646.28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,1
290717.68,0.75998879,0.0,0.0,507.35,391.0,310.74,374.42,0,1,1,4,0,0,2,6,0,0,0,3,0,1,White,1
211507.86,0.818591544,387.05,0.0,4155.76,3989.52,4435.29,2635.02,1,1,5,5,0,0,2,6,0,0,1,1,1,1,White,0
286599.93,0.53178664,0.0,1778.41,642.92,253.8,355.44,711.37,0,0,1,1,0,0,2,0,0,0,1,0,0,1,White,1
265852.55,0.867373845,0.0,0.0,1625.15,1421.08,1093.2,1174.77,0,0,2,3,1,1,10,8,0,0,1,5,0,1,White,0
196894.61,0.863272626,0.0,3428.19,1691.6,1108.02,852.08,1371.28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,0
241738.06,0.107791394,226.75,0.0,288.76,1406.8,877.45,912.65,1,1,1,1,0,0,0,5,0,0,0,2,1,1,White,1
340458.88,0.409012866,0.0,5163.53,1648.01,2988.42,1845.45,2065.41,0,0,0,0,0,1,0,5,0,0,0,4,1,1,White,1
189940.03,0.12067496,0.0,0.0,283.73,197.46,646.48,1381.77,0,1,1,1,0,0,0,4,0,0,0,3,1,1,White,0
