delinquency_status,delinquency_status_3m,delinquency_status_6m,delinquency_status_12m,credit_inquiry,credit_inquiry_3m,credit_inquiry_6m,credit_inquiry_12m,open_trade,open_trade_3m,open_trade_6m,open_trade_12m,gender,race,race_category,status,log_mortgage,log_card_balance,log_card_balance_3m,log_card_balance_6m,log_card_balance_12m,bin_card_util,bool_dda_bal_9m,bin_amt_past_due
2,2,2,2,1,0,0,0,1,0,0,0,0,1,White,0,12.598447178040322,6.3531519078702505,6.0490020557490825,6.280246015003064,5.903015773922869,3,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,1,13.021060440849372,7.305289016764021,6.974974578619936,6.905633028601036,6.8843433459714785,2,1,0
5,5,5,5,1,2,3,0,1,1,1,0,1,1,White,0,12.283510702505783,7.1741192263508635,7.3011073192064995,7.000972360693271,7.136109232544226,2,0,2
0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,1,12.35494849501148,7.862185370326596,7.251344983372214,7.023714430149732,7.060459198470466,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,1,12.083999696338758,6.597282118229541,7.784523172067657,7.160504233393802,6.47123284640863,0,0,0
0,1,1,4,0,0,2,6,0,0,0,3,0,1,White,1,12.580107903411035,6.229201100725092,5.968707559985366,5.738956549663855,5.925378161980122,3,0,0
1,1,5,5,0,0,2,6,0,0,1,1,1,1,White,0,12.262017439898505,8.332250602717192,8.291426201895314,8.397348281557438,7.876646051079485,3,0,1
0,0,1,1,0,0,2,0,0,0,1,0,0,1,White,1,12.56584255013333,6.46602029970094,5.536546555280287,5.873356458627653,6.567192688256872,2,1,0
0,0,2,3,1,1,10,8,0,0,1,5,0,1,White,0,12.4906971107616,7.393355398196053,7.259172424893828,6.996864454053913,7.0688276627369175,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,0,12.190423889950857,7.433430105598333,7.010329917685836,6.747680419134911,7.223499889198801,3,1,0
1,1,1,1,0,0,0,5,0,0,0,2,1,1,White,1,12.395610022230258,5.66559589327096,7.249072900599828,6.777019973659616,6.8163524555087935,0,0,0
0,0,0,0,0,1,0,5,0,0,0,4,1,1,White,1,12.73804963369623,7.407323778412172,8.002500098623756,7.520478429174288,7.633084032902739,1,1,0
0,1,1,1,0,0,0,4,0,0,0,3,1,1,White,0,12.154463669741546,5.64802308172996,5.285536032183304,6.471542261925192,7.231120565007027,0,0,0
0,1,1,1,0,2,0,4,0,2,0,2,0,1,White,1,12.31423910085471,7.332473844012188,7.370841286559875,6.825405745965112,6.8696275682839865,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,White,0,12.084218352290138,6.573582396818172,6.62594924210251,6.595657555582568,6.18887994984946,3,1,0
1,1,1,1,0,2,0,7,0,0,0,4,0,1,White,0,12.531227112851708,6.565321306476603,7.01753302430038,6.6258166811574215,6.713381383664008,2,0,1
0,0,1,1,0,0,0,6,0,0,0,2,1,1,White,1,11.881235596820716,6.630841684458099,6.1586301640127346,6.283200889887803,6.423750083700587,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,White,1,12.54778015416872,5.128773822113297,6.351391696887623,6.526040876594677,6.585067597331541,0,0,0
2,2,2,2,1,2,0,0,1,1,0,0,0,1,White,0,12.615384877292529,5.706678277768226,5.214609617474552,4.805577210328431,5.684157831519901,1,0,1
0,0,0,2,0,2,0,4,0,0,0,2,0,1,White,0,12.193610666628125,3.2375012889913655,5.345677937907874,5.242698942785024,5.6507332535663855,0,0,0
0,0,1,1,0,2,0,0,0,0,0,0,1,1,White,1,12.27980876998568,8.093407277571828,7.400315093941235,7.660015351034519,7.504226347276622,3,1,0
1,1,1,1,0,2,0,0,0,1,0,0,1,1,White,1,12.371771812707061,7.920235803687625,7.042120074230199,7.090143500220635,6.540221591708529,3,0,2
2,2,2,2,0,0,0,0,0,0,0,0,0,1,White,0,12.346025960896702,6.887103491251265,6.420174065195606,6.591577705450382,6.6939678225919526,3,0,1
0,0,0,0,0,0,0,5,0,0,0,2,0,1,White,1,12.773034811202788,6.63089444516194,7.297707346348472,7.4452832018820905,7.3799190733902,1,1,0
5,5,5,5,3,3,2,5,1,2,0,1,0,1,White,1,13.097526868961445,6.956526395351113,6.835969224474681,6.434498363534909,6.213527514801947,3,1,1
5,5,5,5,2,2,4,0,1,2,2,0,0,1,White,1,12.488701308489167,6.239398267229411,6.545450229989766,6.9241894944455575,6.875335387726026,0,0,0
1,1,1,1,0,0,4,8,0,0,2,2,0,1,White,0,12.352462401431376,4.613634264400221,6.089928838377966,6.070368144703448,5.938670126594165,0,0,0
5,5,5,5,2,1,0,0,0,0,0,0,1,1,White,0,12.382244120950409,7.307041336013586,7.557034163085421,7.4812739720865515,7.006532170065747,2,0,2
0,0,0,2,0,0,0,0,0,0,0,0,0,1,White,1,12.314851083431275,6.937352915421081,7.237066220343463,7.216077862901213,6.874498347080685,2,0,0
3,3,3,3,1,2,0,0,1,1,0,0,1,1,White,1,12.453044787494791,8.479017691836887,7.9876467549815535,8.079605637739334,8.272506749425553,2,0,2
0,1,1,1,0,2,4,0,0,2,1,0,1,1,White,1,12.5834053902157,6.634607076307393,6.6204997822006835,6.368633056061032,6.479507607976728,2,0,0
0,2,2,2,0,2,0,6,0,1,0,5,1,1,White,1,12.697163279112544,6.210178301342806,5.789287161602678,5.886548377158422,6.670753646494326,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,1,12.73414781672635,7.377846404399971,7.622849844024906,7.634066405920515,7.2388846967030585,2,1,0
0,0,0,1,0,1,2,5,0,1,0,4,1,1,White,0,12.162695827726413,8.121842757091846,7.5034935790052035,6.884394529068783,7.575117875968348,3,0,0
1,1,3,4,0,1,6,7,0,0,2,3,1,1,White,1,12.152514841707017,8.272327922529511,7.904050563955798,8.037384852714023,7.961809435786036,2,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,1,White,1,12.852089486149994,5.3464882914093295,5.113071538236835,6.2255876024651995,6.19766537769188,0,1,0
0,0,0,1,0,0,4,8,0,0,3,4,0,1,White,1,12.652663190115426,4.900076103529192,6.438455402044645,6.116377658806779,6.031670351822286,0,0,0
4,4,4,4,2,2,4,6,2,0,2,3,0,1,White,1,12.791014267131967,4.759349436835766,5.308267697401205,5.042327740828745,4.864375620447323,0,0,0
4,4,4,4,1,1,6,3,1,0,0,2,1,1,White,1,12.530965672538077,6.940474131544863,6.944019703540337,7.355398261989171,7.75052432833967,1,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,1,White,1,12.259833483027629,5.550864368231489,6.013030325022543,5.852690866241513,5.521260897859579,1,0,0
1,1,1,1,1,3,6,0,1,2,3,0,0,1,White,0,13.0867378992416,5.920559133592207,5.601712834419309,5.766162417739561,5.26030392434982,1,0,0
0,1,1,1,1,3,1,8,1,2,1,2,0,1,White,0,12.368896688476106,6.960195914921572,7.1673001881846226,6.604065768384539,7.479429499480308,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,1,White,1,12.340529060189866,4.913169459202767,6.959512465754975,7.225022852348176,6.550823159119369,0,0,0
